"Timestamp","Which Evening & Weekend MBA (EWMBA) cohort are you in?","Which class are you in?","How do you commute to and from your in-person classes? If you identify with multiple options, please pick the one you use most often.","If you selected one of the driving options, what is preventing you from utilizing other options such as the shuttle/BayPass, etc? (Select all that apply)","A parking pass is crucial to my school experience.","How frequently have parking or transit delays directly disrupted your academic schedule (e.g. arriving late to class, missing a lecture, or missing scheduled group meetings)?","With this new parking permit change, I need to reevaluate how I commute to school for classes and in-person campus events.","Having to pay for parking (think about paying for parking) will prevent me from attending more on-campus events / maximizing my MBA.","Having to pay for parking in addition to rising tuition costs causes me unnecessary extra stress / negatively impacts my student experience.","If a prospective applicant with a similar professional and geographical profile asked for your honest advice about joining Haas, how would you suggest they view the new parking and commuting situation?","The mandatory campus transit fee for BayPass is automatically charged to all students. If given the option, would you choose to opt-out of this fee to reduce your semester tuition/fees?","Anything else you'd like to share? We'll synthesize feedback and share it with the Program Office."
"2026/07/13 3:59:04 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","I drive to work, and go directly to school after, and therefore must drive","5","Frequently (6+ times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes","Upon acceptance of my place in the EWMBA program Haas stated that parking is included in tuition. This factored into my decision to commit to Haas. This is an unexpected cost that we are forced to absorb even though Haas showed this as an included benefit when accepting my offer. I am deeply disappointed in this decision. "
"2026/07/13 3:59:25 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","No",""
"2026/07/13 3:59:30 PM MDT","Weekend Axe/Oski (Saturday)","2028","I carpool with other students (we switch off driving / utilize multiple permits)","There's no convenient way for me to take the shuttle/public transporation","4","Occasionally (3-5 times per semester)","5","4","3","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes",""
"2026/07/13 4:00:37 PM MDT","Evening Blue (Monday/Wednesday)","2028","I drive myself to school","The shuttle leaves at an inconvenient time;I drive to work, and go directly to school after, and therefore must drive","5","Occasionally (3-5 times per semester)","5","5","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","No","If they won’t restore parking, I’d recommend seeing if they can add a shuttle to Embarcadero after class so people can connect to Muni or BART. Since this would be off peak hours, I’m sure transportation companies have excess capacity after their rush hour commuter business and Haas could negotiate a good deal. I know a number of people that take transit to class from the city, but then need to find ways back to the city after class. Taking Bart back to the city requires walking to downtown Berkeley in the dark in poorly lit areas, waiting for Bart which can be up to 20 mins, transferring at MacArthur before finally arriving in the city after a long day of work and class. It often means long commutes in the dark that can sometimes feel unsafe. Having this option to Embarcadero might mean more students utilize the BayPass, can save on tolls without adding too much extra time to their commute, and would help offset the loss of the parking pass."
"2026/07/13 4:01:05 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;Driving saves me time and energy","5","Frequently (6+ times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 4:02:06 PM MDT","Evening Blue (Monday/Wednesday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;Driving saves me time and energy","5","Rarely (1-2 times per semester)","3","5","4","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes",""
"2026/07/13 4:03:26 PM MDT","Weekend Axe/Oski (Saturday)","2028","I use BayPass/public transportation","","3","Never","3","4","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","No","Removing the free parking permits for EWMBA reflects a misallocation of funds directly causing stress to students, especially for weekend students who do not have the free shuttle option. I am lucky to live close by to campus, but most students rely on driving themselves every week, and now they're faced with purchasing daily permits every time they park, increasing financial stress and time wasted away from the classroom."
"2026/07/13 4:04:31 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Frequently (6+ times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes",""
"2026/07/13 4:04:36 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I carpool with other students (we usually take the same car / utilize a single parking permit)","Driving saves me time and energy","3","Rarely (1-2 times per semester)","5","4","3","It is a minor factor (manageable annoyance, but should not affect enrollment)","No",""
"2026/07/13 4:04:50 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 4:04:57 PM MDT","Weekend Axe/Oski (Saturday)","2026","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Frequently (6+ times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes",""
"2026/07/13 4:05:00 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I take the MTV shuttle","","5","Occasionally (3-5 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes",""
"2026/07/13 4:05:01 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","The shuttle leaves at an inconvenient location;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","3","4","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes","Taking Bart back to SF after class at 10pm can be unsafe and tiring after a long class."
"2026/07/13 4:05:36 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","There's no convenient way for me to take the shuttle/public transporation;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 4:05:40 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes",""
"2026/07/13 4:05:47 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Never","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","No","It is extremely unfair, exploitative, and creates negative feelings about Haas as an institution. I don’t feel as if the school really cares about my well-being. This is not an isolated incident."
"2026/07/13 4:06:25 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","4","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","No",""
"2026/07/13 4:06:49 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I carpool with other students (we switch off driving / utilize multiple permits)","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes","Incredibly tone deaf and sloppy rollout from Haas"
"2026/07/13 4:06:58 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 4:06:59 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","No",""
"2026/07/13 4:07:17 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","No","I live in Walnut Creek and have been using the parking pass to get to class since a convenient shuttle does not exist and I do not have the time to take the Bart after work with the transfer in Oakland. I have also used the parking pass to come to campus on non-class days to attend events, further enriching my MBA experience. I can honestly say that having to pay for parking would have drastically changed my ability to do this while also working, and I likely would not have applied, having moved for the program from out of state."
"2026/07/13 4:07:20 PM MDT","Nexus/Lux (Flex)","2028","N/A for me for my core classes","There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes","The value of an MBA degree is decreasing everyday, and the school is not doing enough to retain and satisfy current students. Please reflect on this. "
"2026/07/13 4:08:05 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive","5","Rarely (1-2 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes","I'd like to see action being taken on this. Hopefully this doesn't end up just as a psychological game to calm people down to show 'we tried' and the program office not really doing anything about it (like the survey about increasing tuition). Free parking was advertised as a perk of EWMBA. Batoass is frankly not an option for a lot of people. An additional $400-500 on parking passes is a non trivial amount for many people. "
"2026/07/13 4:08:49 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I carpool with other students (we usually take the same car / utilize a single parking permit)","The shuttle leaves at an inconvenient location;I don't feel safe taking public transportation at the times I would need to;There is no bus to and from San Francisco ","4","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","No",""
"2026/07/13 4:10:00 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 4:10:04 PM MDT","Evening Blue (Monday/Wednesday)","2028","I drive myself to school","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes","For EW students in the Blue and Gold cohort, baypass options are incredibly limited. The BART train that I take southbound to Milpitas leaves every 30 minutes, which means I cannot network with classmates, professors, or guests at all for fear of missing the train and getting stranded. Because of this, I must drive, which means a parking permit is an additional expense on top of the other fees to attend."
"2026/07/13 4:10:06 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","No shuttle available on Sat","5","Frequently (6+ times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes",""
"2026/07/13 4:10:32 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes","EWMBA students primarily live far from campus and typically have to drive. Excluding a parking permit from enrollment while requiring students to pay an additional $125 per month for a parking pass, and justifying this by saying it aligns with other MBA programs, creates the impression that EWMBA students are being treated as second-class members of the Haas community and as a source of additional revenue.

If the program were to waive the other campus fees that EWMBA students rarely benefit from, allowing students to opt in only if they choose to use those facilities, then it would be reasonable for parking to be treated as an optional benefit as well. However, requiring EWMBA students to pay mandatory fees for amenities that most of them seldom use, and then charging extra for parking on top of those fees, is difficult to justify."
"2026/07/13 4:12:55 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","4","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","No",""
"2026/07/13 4:13:34 PM MDT","Evening Gold (Tuesday/Thursday)","2028","I carpool with other students (we switch off driving / utilize multiple permits)","There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","5","5","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","No","If we don’t get the parking pass, can weekday students get dinner covered like how weekend has lunch covered? To align differences between MBA programs and cohorts. "
"2026/07/13 4:15:09 PM MDT","Evening Blue (Monday/Wednesday)","2027","I carpool with other students (we usually take the same car / utilize a single parking permit)","The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to","5","Occasionally (3-5 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes","This is absurd and incredibly frustrating. I believe that EW students already face significant disadvantages, as we rarely receive scholarships, tuition aid, or substantial campus or career support. Therefore, aligning the parking requirement with other programs feels exploitative. If the genuine concern is creating alignment, then we should also be entitled to similar benefits as other programs, such as FTMBA students receiving discounted tuition on summer courses."
"2026/07/13 4:15:36 PM MDT","Evening Blue (Monday/Wednesday)","2028","I take the MTV shuttle","","5","Frequently (6+ times per semester)","5","4","3","It is a minor factor (manageable annoyance, but should not affect enrollment)","No",""
"2026/07/13 4:16:54 PM MDT","Evening Blue (Monday/Wednesday)","2028","I drive myself to school","I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","4","Occasionally (3-5 times per semester)","5","2","2","It is a minor factor (manageable annoyance, but should not affect enrollment)","No","The argument given in the email announcement, that this is done in effort to align with the other MBA programs, is weak. FTMBA students live closer to campus and spend the majority of their day in classes and campus activities, such as recruiting. Evening students must commute after their workday, and live scattered across the Bay Area (and in some cases, beyond). Many of these students rely on their cars for the commute, and also have less predictability in schedules, making the option for a car invaluable. Given this, it clearly does not make sense to align these two programs on an issue such as parking. I’m sure I’ll end up paying for a permit, but it does give the program more of a transactional feel to it, and I don’t believe I’m alone in that sentiment."
"2026/07/13 4:18:38 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to","5","Occasionally (3-5 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","Yes",""
"2026/07/13 4:18:55 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive","5","Occasionally (3-5 times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","Yes","I will take all online classes and not come to campus if I cant even park anymore. It’s already hard enough as is to add the commute onto my work commute and make night school work while working full time. I will strongly discourage anyone from attending Haas EWMBA as the school continuously shows that it does not care about these students."
"2026/07/13 4:21:09 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive;Driving saves me time and energy","5","Occasionally (3-5 times per semester)","4","3","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes",""
"2026/07/13 4:22:21 PM MDT","Evening Gold (Tuesday/Thursday)","2027","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;I don't feel safe taking public transportation at the times I would need to;Driving saves me time and energy","5","Rarely (1-2 times per semester)","5","5","5","It is a significant factor (should be weighed against competing programs like Wharton SF or Stanford)","No","I am deeply disappointed with the program's direction. It feels as though the administration is focused entirely on revenue rather than the student experience. "
"2026/07/13 4:24:36 PM MDT","Weekend Axe/Oski (Saturday)","2028","I drive myself to school","BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I don't feel safe taking public transportation at the times I would need to","5","Frequently (6+ times per semester)","5","5","5","It is a critical factor (should actively discourage enrolling unless they live near campus)","No",""
"2026/07/13 4:30:32 PM MDT","Evening Blue (Monday/Wednesday)","2027","I drive myself to school","The shuttle leaves at an inconvenient time;The shuttle leaves at an inconvenient location;BayPass options (bus, BART, etc) are inconvenient/infeasible for me;There's no convenient way for me to take the shuttle/public transporation;I drive to work, and go directly to school after, and therefore must drive","5","Never","5","2","5","It is a minor factor (manageable annoyance, but should not affect enrollment)","Yes","I would prefer to cut the transit fee and keep the parking pass. There are many other ways to cut costs — the South Bay shuttle is typically empty or has very few riders. 

Transit delays have never disrupted my class experience because I have driven in the past"
